iter	Passed	Remaining
473	781	866
474	782	865
475	785	864
476	787	863
477	790	862
478	792	862
479	794	860
480	795	858
481	797	856
482	798	854
483	800	853
484	801	851
485	803	849
486	814	857
487	815	855
488	817	854
489	822	856
490	827	857
491	829	856
492	831	854
493	832	853
494	834	851
495	836	849
496	837	848
497	839	846
498	843	846
499	845	845
500	846	843
501	848	841
502	850	840
503	851	838
504	853	836
505	855	834
506	856	833
507	858	831
508	860	830
509	861	828
510	863	825
511	864	824
512	866	822
513	867	820
514	869	818
515	870	816
516	872	814
517	873	812
518	874	810
519	876	808
520	878	807
521	881	807
522	883	805
523	884	803
524	885	801
525	887	799
526	888	797
527	890	795
528	891	793
529	893	791
530	894	789
531	895	788
532	897	786
533	899	784
534	900	782
535	901	780
536	903	778
537	905	777
538	906	775
539	907	773
540	909	771
541	910	769
542	912	767
543	913	765
544	915	763
545	916	762
546	917	760
547	919	758
548	920	756
549	922	754
550	923	752
551	925	750
552	926	748
553	927	747
554	929	745
555	931	743
556	932	741
557	933	739
558	935	738
559	937	736
560	939	735
561	940	733
562	942	731
563	944	729
564	945	728
565	947	726
566	949	725
567	951	723
568	953	722
569	955	721
570	957	719
571	958	717
572	960	715
573	961	713
574	963	711
575	965	710
576	968	709
577	969	707
578	970	705
579	972	704
580	973	702
581	975	700
582	976	698
583	978	696
584	979	694
585	981	693
586	983	691
587	984	689
588	985	687
589	987	686
590	989	684
591	990	682
592	991	680
593	993	678
594	994	677
595	996	675
596	998	673
597	999	671
598	1001	670
599	1002	668
600	1004	666
601	1005	664
602	1006	662
603	1008	661
604	1009	659
605	1011	657
606	1014	656
607	1015	654
608	1017	653
609	1018	651
610	1020	649
611	1022	647
612	1023	646
613	1024	644
614	1026	642
615	1027	640
616	1028	638
617	1030	636
618	1031	635
619	1033	633
620	1034	631
621	1036	629
622	1037	627
623	1039	626
624	1040	624
625	1042	622
626	1043	620
627	1044	618
628	1046	617
629	1047	615
630	1049	613
631	1050	611
632	1051	609
633	1053	608
634	1055	606
635	1056	604
636	1057	602
637	1059	601
638	1060	599
639	1062	597
640	1063	595
641	1064	593
642	1066	591
643	1067	590
644	1068	588
645	1070	586
646	1071	584
647	1073	582
648	1074	581
649	1075	579
650	1077	577
651	1079	575
652	1080	574
653	1081	572
654	1083	570
655	1084	568
656	1086	567
657	1087	565
658	1089	563
659	1090	561
660	1092	560
661	1093	558
662	1095	556
663	1096	554
664	1098	553
665	1099	551
666	1101	549
667	1102	547
668	1105	546
669	1106	545
670	1108	543
671	1109	541
672	1111	539
673	1113	538
674	1114	536
675	1115	534
676	1117	533
677	1119	531
678	1120	529
679	1121	527
680	1123	526
681	1124	524
682	1126	522
683	1127	520
684	1129	519
685	1130	517
686	1132	515
687	1133	514
688	1135	512
689	1136	510
690	1138	509
691	1140	507
692	1141	505
693	1143	504
694	1145	502
695	1146	500
696	1148	499
697	1149	497
698	1151	495
699	1152	493
700	1155	492
701	1156	491
702	1158	489
703	1160	488
704	1162	486
705	1164	484
706	1165	483
707	1166	481
708	1168	479
709	1170	478
710	1171	476
711	1173	474
712	1174	472
713	1177	471
714	1178	469
715	1180	468
716	1182	466
717	1184	465
718	1186	463
719	1187	461
720	1189	460
721	1191	458
722	1192	456
723	1194	455
724	1195	453
725	1198	452
726	1200	450
727	1202	449
728	1203	447
729	1205	445
730	1206	444
731	1208	442
732	1210	440
733	1211	439
734	1213	437
735	1214	435
736	1217	434
737	1218	432
738	1220	430
739	1221	429
740	1222	427
741	1224	425
742	1226	424
743	1227	422
744	1229	420
745	1231	419
746	1232	417
747	1235	416
748	1237	414
749	1238	412
750	1239	411
751	1241	409
752	1243	407
753	1244	406
754	1246	404
755	1248	402
756	1250	401
757	1251	399
758	1253	397
759	1254	396
760	1256	394
761	1257	392
762	1258	391
763	1260	389
764	1261	387
765	1263	385
766	1265	384
767	1266	382
768	1268	381
769	1270	379
770	1271	377
771	1273	376
772	1276	374
773	1277	373
774	1279	371
775	1280	369
776	1282	368
777	1283	366
778	1285	364
779	1286	362
780	1287	361
781	1289	359
782	1290	357
783	1291	355
784	1293	354
785	1295	352
786	1296	350
787	1297	349
788	1299	347
789	1300	345
790	1302	344
791	1303	342
792	1304	340
793	1305	338
794	1307	337
795	1308	335
796	1310	333
797	1311	331
798	1312	330
799	1314	328
800	1315	326
801	1317	325
802	1318	323
803	1319	321
804	1321	320
805	1323	318
806	1324	316
807	1325	315
808	1327	313
809	1329	311
810	1330	310
811	1332	308
812	1334	306
813	1335	305
814	1337	303
815	1338	301
816	1340	300
817	1342	298
818	1343	297
819	1345	295
820	1347	293
821	1349	292
822	1350	290
823	1351	288
824	1353	287
825	1355	285
826	1356	283
827	1358	282
828	1359	280
829	1360	278
830	1362	277
831	1363	275
832	1365	273
833	1367	272
834	1368	270
835	1370	268
836	1371	267
837	1373	265
838	1374	263
839	1375	262
840	1377	260
841	1379	258
842	1380	257
843	1382	255
844	1383	253
845	1385	252
846	1387	250
847	1388	248
848	1389	247
849	1391	245
850	1392	243
851	1394	242
852	1395	240
853	1397	238
854	1398	237
855	1400	235
856	1401	233
857	1403	232
858	1404	230
859	1406	228
860	1407	227
861	1409	225
862	1410	223
863	1411	222
864	1412	220
865	1414	218
866	1415	217
867	1416	215
868	1418	213
869	1419	212
870	1420	210
871	1422	208
872	1423	207
873	1425	205
874	1426	203
875	1428	202
876	1429	200
877	1430	198
878	1432	197
879	1433	195
880	1434	193
881	1436	192
882	1437	190
883	1438	188
884	1440	187
885	1441	185
886	1443	183
887	1445	182
888	1447	180
889	1448	179
890	1450	177
891	1451	175
892	1453	174
893	1454	172
894	1455	170
895	1457	169
896	1458	167
897	1460	165
898	1461	164
899	1462	162
900	1464	160
901	1465	159
902	1466	157
903	1468	155
904	1469	154
905	1470	152
906	1472	150
907	1473	149
908	1475	147
909	1477	146
910	1479	144
911	1480	142
912	1482	141
913	1484	139
914	1486	138
