iter	Logloss
0	0.6861634254
1	0.6787007939
2	0.6723910679
3	0.666054899
4	0.6589729136
5	0.6520109177
6	0.6455195167
7	0.6396741434
8	0.6343099854
9	0.6279756373
10	0.6224411184
11	0.616226283
12	0.6103964719
13	0.6048637303
14	0.5996269746
15	0.5951561061
16	0.5896951069
17	0.5848775343
18	0.5804374435
19	0.5761855299
20	0.571849953
21	0.5676748102
22	0.5640107935
23	0.5603720925
24	0.5563038479
25	0.5526614623
26	0.5489794124
27	0.5455630909
28	0.5418193124
29	0.5388718952
30	0.53542666
31	0.5318798585
32	0.5293364091
33	0.5265315663
34	0.5237327922
35	0.5212192969
36	0.5184325738
37	0.5155492696
38	0.512705196
39	0.5107849728
40	0.5080946142
41	0.5056796507
42	0.5030432614
43	0.5009995807
44	0.4987574491
45	0.4969237934
46	0.4946570396
47	0.4929518266
48	0.4913018834
49	0.489011331
50	0.4870914112
51	0.4849953651
52	0.4828196439
53	0.4807797779
54	0.4787449837
55	0.4772155502
56	0.4752393636
57	0.4734634053
58	0.4715851003
59	0.4698521007
60	0.4684224129
61	0.4667507952
62	0.4651683894
63	0.4638213244
64	0.4621485363
65	0.4607976567
66	0.4593722604
67	0.4576463699
68	0.4563021226
69	0.4547728625
70	0.4534397992
71	0.4520679821
72	0.4510500648
73	0.4500037974
74	0.4488270499
75	0.4476816871
76	0.4464712143
77	0.4452799884
78	0.4442915483
79	0.4431867599
80	0.4419737729
81	0.4408037879
82	0.4394855499
83	0.4384627342
84	0.4376408837
85	0.4365251281
86	0.4356618361
87	0.4346275763
88	0.4334388213
89	0.4324240251
90	0.4315209822
91	0.4307714376
92	0.4297654845
93	0.429013599
94	0.4280626991
95	0.4271326932
96	0.4264051697
97	0.4255806316
98	0.424879681
99	0.4241173484
100	0.4231892499
101	0.4224016883
102	0.4216512767
103	0.4207497077
104	0.4197807746
105	0.4191651344
106	0.4183817777
107	0.4176308459
108	0.4169898467
109	0.4163361463
110	0.4156959707
111	0.4149266156
112	0.4143380252
113	0.4137813395
114	0.4131311937
115	0.4125526602
116	0.4120772969
117	0.4115447131
118	0.4109843861
119	0.4103282582
120	0.4098551924
121	0.4092901403
122	0.4088446877
123	0.40806805
124	0.4074895165
125	0.4069658193
126	0.4063314958
127	0.4058767666
128	0.4052308689
129	0.4043923725
130	0.4038695422
131	0.4035214944
132	0.4031504284
133	0.402587067
134	0.4021375396
135	0.4016887491
136	0.4012121287
137	0.4006474668
138	0.400349617
139	0.3999798081
140	0.3994437565
141	0.3989449414
142	0.3984172994
143	0.3979934346
144	0.3974967436
145	0.3971173113
146	0.396795793
147	0.3962693648
148	0.3958746303
149	0.3952694373
150	0.3947470405
151	0.3943814364
152	0.3939086307
153	0.3932668946
154	0.3928245198
155	0.3924225894
156	0.3921607191
157	0.3917041692
158	0.3912845958
159	0.3910334327
160	0.3906242197
161	0.3903214715
162	0.3898280751
163	0.3894331672
164	0.3890760595
165	0.388701699
166	0.3883025429
167	0.3880635175
168	0.387663191
169	0.3873523365
170	0.3869027658
171	0.3866161
172	0.3861196258
173	0.3856339021
174	0.3853412541
175	0.3849329948
176	0.3846078352
177	0.3841831901
178	0.3837956515
179	0.3833554008
180	0.3831046711
181	0.3828084252
182	0.3824671832
183	0.3821043968
184	0.381695574
185	0.381476489
186	0.3812409314
187	0.3809463761
188	0.3807236932
189	0.3801944039
190	0.3798859336
191	0.3796125325
192	0.3793009411
193	0.378972487
194	0.3786944476
195	0.37839352
196	0.3781082847
197	0.3778817003
198	0.3775713661
199	0.3772533157
200	0.3770167611
201	0.3766915581
202	0.3763737245
203	0.376176574
204	0.3759529374
205	0.3756290783
206	0.375406612
207	0.3752475218
208	0.375016906
209	0.3746597117
210	0.3744182153
211	0.3742046356
212	0.3737921281
213	0.3735109676
214	0.3731523861
215	0.3727886894
216	0.3725004196
217	0.3721254522
218	0.371862845
219	0.371645754
220	0.3712311658
221	0.3710986918
222	0.3706541061
223	0.3704653653
224	0.370270469
225	0.3700271953
226	0.3698927272
227	0.3696915887
228	0.3693828583
229	0.3691662008
230	0.3687082204
231	0.3684972416
232	0.3681752898
233	0.3679597161
234	0.3678024032
235	0.3675767725
236	0.3672950485
237	0.3670366027
238	0.366739143
239	0.3665834774
240	0.3662802956
241	0.3660881736
242	0.3658209714
243	0.3653979301
244	0.3650685657
245	0.3647340861
246	0.3645788973
247	0.3642161976
248	0.3638902144
249	0.3636822701
250	0.363364328
251	0.3631475189
252	0.3629527092
253	0.362728444
254	0.3626029058
255	0.3623148311
256	0.3620813977
257	0.3618507819
258	0.3613810323
259	0.3611408364
260	0.3606597294
261	0.3604925763
262	0.3600810008
263	0.3598995642
264	0.3596179702
265	0.3594094406
266	0.3592111848
267	0.3589883067
268	0.358742974
269	0.3584236232
270	0.3582499244
271	0.3580424786
272	0.3579192162
273	0.3577072404
274	0.3575375514
275	0.3572017496
276	0.3570249081
277	0.3567938371
278	0.356576226
279	0.3562902537
280	0.3560275815
281	0.355727976
282	0.3553789312
283	0.3551395156
284	0.3549525304
285	0.3546907035
286	0.3545578827
287	0.3542861505
288	0.3541040421
289	0.3538928682
290	0.353715008
291	0.3533755216
292	0.3531198935
293	0.3528723717
294	0.3526619131
295	0.352462942
296	0.3523089669
297	0.3520326181
298	0.3516906608
299	0.3515329794
300	0.3512905294
301	0.3511303772
302	0.3509181846
303	0.3507582058
304	0.3505226916
305	0.3502200517
306	0.3499241959
307	0.3497811447
308	0.3496204723
309	0.3495139425
310	0.34932039
311	0.3491883278
312	0.3489296436
313	0.3487908623
314	0.3486943028
315	0.3484665047
316	0.3482517112
317	0.3480768204
318	0.3478089463
319	0.3475941094
320	0.3472853791
321	0.3471629186
322	0.3469067704
323	0.3466841308
324	0.3465191017
325	0.346209396
326	0.3460577185
327	0.3458084193
328	0.3456395539
329	0.3454838666
330	0.3453064398
331	0.3451788642
332	0.3450404947
333	0.3446007642
334	0.3444552422
335	0.3442582434
336	0.3440822688
337	0.3440221873
338	0.3437896642
339	0.3436669003
340	0.3435541933
341	0.3433202397
342	0.3431559909
343	0.3429970741
344	0.3428736383
345	0.3427218957
346	0.3424715562
347	0.3423449993
348	0.3421528123
349	0.3419363715
350	0.3418472463
351	0.341695222
352	0.3415891907
353	0.3414353674
354	0.341227228
355	0.3410040682
356	0.3408508301
357	0.3405471715
358	0.3402957916
359	0.3402317654
360	0.3400732821
361	0.3398621949
362	0.3397073746
363	0.3395533562
364	0.3394090046
365	0.3392583457
366	0.3391504071
367	0.3389726986
368	0.3388658437
369	0.3387257403
370	0.3386199908
371	0.3384511254
372	0.338213227
373	0.3380051093
374	0.3378279859
375	0.3375546065
376	0.3373457735
377	0.3371067481
378	0.3369783055
379	0.3368192153
380	0.336575985
381	0.3363769488
382	0.336245992
383	0.3361116756
384	0.3359437422
385	0.3358363455
386	0.3356502273
387	0.3355467103
388	0.3353184353
389	0.335174864
390	0.3350582123
391	0.3348841234
392	0.3347617496
393	0.334442052
394	0.3342844139
395	0.3341058168
396	0.3339879296
397	0.3337833665
398	0.3336005428
399	0.3334961588
400	0.3333529126
401	0.3330682408
402	0.3330012668
403	0.3327964653
404	0.3325546005
405	0.3323095062
406	0.3320259181
407	0.3318951347
408	0.3317107287
409	0.3316292329
410	0.3315081163
411	0.3313243823
412	0.33121562
413	0.3310418346
414	0.3306984468
415	0.3305211717
416	0.3303222006
417	0.3301462694
418	0.3300143589
419	0.3297207572
420	0.3296301148
421	0.3294045275
422	0.3292851882
423	0.329158046
424	0.3290454041
425	0.3288988634
426	0.3287127018
427	0.3286834413
428	0.3283071301
429	0.3282493678
430	0.3280445879
431	0.3279110952
432	0.3276159113
433	0.3273598498
434	0.3272371726
435	0.3271391175
436	0.3268769871
437	0.3266512481
438	0.3264604482
439	0.3262467384
440	0.3260792385
441	0.3258545615
442	0.3256851326
443	0.3255993236
444	0.3251640146
445	0.3249044852
446	0.3246693611
447	0.3245252046
448	0.3243686936
449	0.3242306059
450	0.3241007328
451	0.3237789544
452	0.3234993328
453	0.3232951164
454	0.3231646798
455	0.3229237036
456	0.3227838603
457	0.3226287798
458	0.3223332058
459	0.3220960877
460	0.3219821887
461	0.3217691942
462	0.3216593049
463	0.3215185512
464	0.3213685426
465	0.3212440664
466	0.321195429
467	0.3211009286
468	0.3210314187
469	0.3208947182
470	0.3207719109
471	0.3206305287
472	0.3205377839
473	0.3202958107
474	0.3201570077
475	0.3199813583
476	0.3198334087
477	0.3196913546
478	0.3194183436
479	0.3192812313
480	0.3190735904
481	0.3189950856
482	0.3189073909
